ID,CURRENT_SPECIES_NAME,CURRENT_TAXONOMIC_NAME,Family,Class,thermal guild,a,b,CF,SGFGu,Range,Frequency,Abundance,MaxLength,Trophic Level,Trophic group,Trophic group2,Water column,Diel Activity,Habitat,Min depth ,Max depth ,Mean depth,IUCN,Introduced,ThermalMP_5_95,ThermalMP_5min_95max,Thermal_95thmax,TNConfidence,SGI,SGI conf
,Sargocentron spiniferum,Sargocentron spiniferum,Holocentridae,Actinopterygii,tropical,,,,,4480,18,2,51,3.5,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,1,122,,NA,No,27.4166,27.10205,31.15,3,18.1876925,3
,Scarus altipinnis,Scarus altipinnis,Labridae,Actinopterygii,tropical,,,,,2732,18,3,60,2,Scraping herbivore,Herbivore,Demersal,Day,coral,4,50,,LC,No,25.3185,24.501,29.871,3,17.2591759,3
,Sphyraena ensis,Sphyraena ensis,Sphyraenidae,Actinopterygii,tropical,,,,,94,18,243,127,4.5,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,water column,,,,LC,No,27.8173,26.7658,30.3078,1,,
,Stegastes nigricans,Stegastes nigricans,Pomacentridae,Actinopterygii,tropical,,,,,3125,18,23,14,2.2,Algal farmer,Herbivore,Demersal,Day,coral,1,12,,NA,No,26.932,26.631,31.175,3,18.6849985,3
,Sufflamen chrysopterum,Sufflamen chrysopterum,Balistidae,Actinopterygii,tropical,,,,,3106,18,2,30,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,1,30,,NA,No,25.554,25.169,31.207,3,25.0295662,3
,Symphodus cinereus,Symphodus cinereus,Labridae,Actinopterygii,temperate,,,,,110,18,1,16,3.3,Benthic invertivore,Benthic invertivore,Demersal,Day,rock,,,,LC,No,18.0826,19.13765,26.5026,1,,
,Thais ambustulatus,Thais ambustulatus,Muricidae,Gastropoda,temperate,,,,,16,18,5,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,22.3745,22.558,25.453,1,,
,Thalassoma grammaticum,Thalassoma grammaticum,Labridae,Actinopterygii,tropical,,,,,427,18,3,32,3.5,Planktivore,Planktivore,Demersal,Day,coral,3,42,,LC,No,27.3745,27.0536,30.099,3,5.3818456,3
,Urobatis halleri,Urobatis halleri,Urolophidae,Elasmobranchii,tropical,,,,,527,18,2,58,3.2,Benthic invertivore,Benthic invertivore,benthic,Night,sand,0,91,,LC,No,26.8375,26.681175,30.099,3,2.3059016,2
,Xanthichthys mento,Xanthichthys mento,Balistidae,Actinopterygii,tropical,,,,,1802,18,7,29,4,Planktivore,Planktivore,Demersal,Day,coral,3,100,,LC,No,25.4,25.158,29.75,3,6.8620443,2
,Acanthurus chirurgus,Acanthurus chirurgus,Acanthuridae,Actinopterygii,tropical,,,,,2154,17,5,39,2,Browsing herbivore,Herbivore,Demersal,Day,coral,2,25,,LC,No,26.2085,26.3255,31.063,3,11.8984871,3
,Aphareus furca,Aphareus furca,Lutjanidae,Actinopterygii,tropical,,,,,3893,17,2,70,4.1,Higher carnivore,Higher carnivore,Demersal,Day,coral,1,122,,NA,No,27.2962,26.8855,30.674,3,16.5937876,3
,Aphelodoris greeni,Aphelodoris greeni,Dorididae,Gastropoda,temperate,,,,,22,17,1,6,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,14.139,14.3767,18.37465,1,,
,Aphelodoris varia,Aphelodoris varia,Dorididae,Gastropoda,temperate,,,,,275,17,3,7.6,,Benthic invertivore,Benthic invertivore,benthic,,rock,0,30,,NA,No,19.640725,19.9155,24.56,3,,
,Aplysia fasciata,Aplysia fasciata,Aplysiidae,Gastropoda,temperate,,,,,854,17,5,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,21.476,21.572,24.123,1,,
,Apogon townsendi,Apogon townsendi,Apogonidae,Actinopterygii,tropical,,,,,656,17,2,6.5,3.4,Benthic invertivore,Benthic invertivore,pelagic site attached,Night,coral,3,55,,NA,No,27.6445,27.0745,30.377,2,,
,Bodianus mesothorax,Bodianus mesothorax,Labridae,Actinopterygii,tropical,,,,,1819,17,2,25,3.2,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,5,40,,LC,No,28.5649,27.4689,31.535,3,9.08698,3
,Bothus leopardinus,Bothus leopardinus,Bothidae,Actinopterygii,tropical,,,,,301,17,1,15,3.7,Higher carnivore,Higher carnivore,benthic,Day,coral,55,121,,LC,No,28.229125,28.19575,31.696,1,,
,Cantharidus opalus,Cantharidus opalus,Trochidae,Gastropoda,temperate,,,,,47,17,1,,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,17.597375,17.693125,21.55555,1,,
,Cantherhines macrocerus,Cantherhines macrocerus,Monacanthidae,Actinopterygii,tropical,,,,,2322,17,1,46,3,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,40,,NA,No,27.3007,27.543475,30.47695,2,,
,Chaetodon guentheri,Chaetodon guentheri,Chaetodontidae,Actinopterygii,temperate,,,,,411,17,3,22,2.8,Corallivore,Corallivore,Demersal,Day,coral,8,70,,LC,No,21.1601,21.0904,26.1527,3,6.7400283,3
,Cheilinus trilobatus,Cheilinus trilobatus,Labridae,Actinopterygii,tropical,,,,,4101,17,2,45,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,1,30,,LC,No,26.947375,26.3645,31.304,3,22.4368645,3
,Cheilodactylus ephippium,Cheilodactylus ephippium,Cheilodactylidae,Actinopterygii,temperate,,,,,899,17,3,55,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,60,,NA,No,21.1605,21.4425,24.92,2,15.3073629,3
,Chromis caudalis,Chromis caudalis,Pomacentridae,Actinopterygii,tropical,,,,,1640,17,25,7.5,3,Planktivore,Planktivore,Demersal,Day,coral,15,55,,NA,No,29.024,28.3204,30.5388,2,2.1253623,2
,Cirrhilabrus cyanopleura,Cirrhilabrus cyanopleura,Labridae,Actinopterygii,tropical,,,,,811,17,120,15,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,30,,DD,No,29.7015,28.7065,30.793,2,2.415142,3
,Cirrhitops hubbardi,Cirrhitops hubbardi,Cirrhitidae,Actinopterygii,tropical,,,,,1631,17,9,25,4,Benthic invertivore,Benthic invertivore,benthic,Day,coral,,,,NA,No,26.08805,25.7111,28.3842,1,,
,Coscinasterias muricata,Coscinasterias muricata,Asteriidae,Asteroidea,temperate,,,,,1154,17,3,50,,Benthic invertivore,Benthic invertivore,benthic,,rock,0,150,,NA,No,17.4885,16.9425,23.555,3,,
,Daira perlata,Daira perlata,Dairidae,Malacostraca,temperate,,,,,10,17,1,5,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,21.713,22.0255,24.92,1,,
,Dascyllus aruanus,Dascyllus aruanus,Pomacentridae,Actinopterygii,tropical,,,,,3989,17,46,10,2.5,Omnivore,Herbivore,Demersal,Day,coral,0,20,,NA,No,25.4785,25.134,31.137,3,12.4462181,3
,Diadema setosum,Diadema setosum,Diadematidae,Echinoidea,tropical,,,,,3536,17,29,30,,Scraping herbivore,Herbivore,benthic,,coral,,,,NA,No,25.89,23.7889,31.5018,3,,
,Electroma georgiana,Electroma georgiana,Pteriidae,Bivalvia,temperate,,,,,10,17,6,4,,Planktivore,Planktivore,benthic,,rock,0,20,,NA,No,16.182,16.281,19.585,1,,
,Epinephelus marginatus,Epinephelus marginatus,Serranidae,Actinopterygii,temperate,,,,,2673,17,1,150,3.7,Higher carnivore,Higher carnivore,Demersal,Day,rock,8,300,,EN,No,20.23775,20.7775,29.073,3,,
,Goniobranchus splendidus,Goniobranchus splendidus,Chromodorididae,Gastropoda,temperate,,,,,257,17,1,4.9,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,,,,,,,,
,Gymnothorax nubilus,Gymnothorax nubilus,Muraenidae,Actinopterygii,temperate,,,,,655,17,1,53.5,3.9,Benthic invertivore,Benthic invertivore,benthic,Night,coral,,,,NA,No,19.756,19.9655,24.92,2,2.7387327,2
,Halichoeres trimaculatus,Halichoeres trimaculatus,Labridae,Actinopterygii,tropical,,,,,3000,17,10,27,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,30,,LC,No,25.4435,25.1405,31.15,3,20.1879882,3
,Haliotis scalaris,Haliotis scalaris,Haliotidae,Gastropoda,temperate,,,,,706,17,10,12,,Scraping herbivore,Herbivore,benthic,,rock,0,50,,NA,No,17.4151,17.6275,22.278,2,,
,Heterodontus portusjacksoni,Heterodontus portusjacksoni,Heterodontidae,Elasmobranchii,temperate,,,,,797,17,5,165,3.5,Benthic invertivore,Benthic invertivore,benthic,Night,rock,1,275,,LC,No,18.38,18.1124,23.2478,3,2.9273883,2
,Hypoplectrus unicolor,Hypoplectrus unicolor,Serranidae,Actinopterygii,tropical,,,,,733,17,2,12.7,4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,,,,NA,No,27.3045,26.58,31.063,2,4.5327661,2
,Idiosepius notoides,Idiosepius notoides,Idiosepiidae,Cephalopoda,temperate,,,,,258,17,1,2.5,,Benthic invertivore,Benthic invertivore,Demersal,Night,sand,0,8,,DD,No,16.907375,16.7056,22.0067,1,,
,Labropsis alleni,Labropsis alleni,Labridae,Actinopterygii,tropical,,,,,1007,17,1,10,3.3,Corallivore,Corallivore,Demersal,Day,coral,4,52,,LC,No,29.9895,29.8447,31.35315,1,,
,Latridopsis forsteri,Latridopsis forsteri,Latridae,Actinopterygii,temperate,,,,,475,17,6,65,3.7,Benthic invertivore,Benthic invertivore,pelagic site attached,Day,rock,0,60,,NA,No,16.3285,16.26,22.283,3,6.8996234,2
,Lutjanus lemniscatus,Lutjanus lemniscatus,Lutjanidae,Actinopterygii,tropical,,,,,1284,17,3,65,4,Higher carnivore,Higher carnivore,Demersal,Day,coral,70,80,,NA,No,26.2605,26.7745,31.495,3,15.9434186,3
,Lytechinus variegatus,Lytechinus variegatus,Toxopneustidae,Echinoidea,tropical,,,,,231,17,1,11,,Scraping herbivore,Herbivore,benthic,,coral,,,,NA,No,28.194,28.3265,29.641,1,,
,Meiacanthus atrodorsalis,Meiacanthus atrodorsalis,Blenniidae,Actinopterygii,tropical,,,,,1853,17,3,11,3.5,Benthic invertivore,Benthic invertivore,benthic,Day,coral,1,30,,NA,No,27.4214,26.291,31.17,3,15.8869767,3
,Myripristis violacea,Myripristis violacea,Holocentridae,Actinopterygii,tropical,,,,,4422,17,7,35,3.5,Planktivore,Planktivore,Demersal,Night,coral,4,25,,NA,No,28.088475,27.484425,31.338,3,15.1404123,3
,Neopomacentrus metallicus,Neopomacentrus metallicus,Pomacentridae,Actinopterygii,tropical,,,,,348,17,8,6,3.4,Planktivore,Planktivore,Demersal,Day,coral,2,10,,NA,No,28.0089,27.48195,30.292,1,,
,Omobranchus germaini,Omobranchus germaini,Blenniidae,Actinopterygii,temperate,,,,,18,17,6,8,2.6,Browsing herbivore,Herbivore,benthic,Day,rock,,,,NA,No,20.3235,20.2895,23.479,1,,
,Pallenopsis gippslandiae,Pallenopsis gippslandiae,Pallenopsidae,Pycnogonida,temperate,,,,,10,17,1,5,,Benthic invertivore,Benthic invertivore,benthic,,rock,6,555,,NA,No,16.182,16.281,19.585,1,,
,Pseudobiceros gratus,Pseudobiceros gratus,Pseudocerotidae,Turbellaria,tropical,,,,,10,17,1,,,Benthic invertivore,Benthic invertivore,benthic,Day,coral,,,,NA,No,29.098,29.048,30.083,1,,
,Scarus perrico,Scarus perrico,Labridae,Actinopterygii,tropical,,,,,753,17,5,76,2,Scraping herbivore,Herbivore,Demersal,Day,coral,3,36,,LC,No,26.1652,25.9835,31.518,3,4.6349703,3
,Sufflamen bursa,Sufflamen bursa,Balistidae,Actinopterygii,tropical,,,,,5354,17,2,25,3.1,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,3,90,,NA,No,27.6463,26.9132,30.7884,3,11.8153393,3
,Trachinotus stilbe,Trachinotus stilbe,Carangidae,Actinopterygii,tropical,,,,,505,17,25,34,3.6,Benthic invertivore,Benthic invertivore,pelagic non-site attached,Day,water column,0,6,,LC,No,25.53435,25.14225,29.0115,1,,
,Triaenodon obesus,Triaenodon obesus,Carcharhinidae,Elasmobranchii,tropical,,,,,6687,17,2,213,4.2,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,coral,1,330,,NT,No,26.986125,26.498525,31.28105,3,21.7097919,3
,Trinchesia viridiana,Trinchesia viridiana,Tergipedidae,Gastropoda,temperate,,,,,10,17,1,,,Browsing herbivore,Herbivore,benthic,,rock,,,,,,,,,,,
,Agnewia tritoniformis,Agnewia tritoniformis,Muricidae,Gastropoda,temperate,,,,,429,16,8,3,,Benthic invertivore,Benthic invertivore,benthic,,rock,0,25,,NA,No,18.301,18.472925,24.56,3,,
,Amblyeleotris katherine,Amblyeleotris katherine,Gobiidae,Actinopterygii,tropical,,,,,1278,16,1,5.6,3.3,Benthic invertivore,Benthic invertivore,benthic,Day,sand,3,38,,NA,No,28.3081,28.2116,29.7462,1,,
,Batrachomoeus dubius,Batrachomoeus dubius,Batrachoididae,Actinopterygii,temperate,,,,,80,16,1,35,3.7,Benthic invertivore,Benthic invertivore,benthic,Day,rock,2,150,,NA,No,20.15,20.173,24.56,1,,
,Bodianus rufus,Bodianus rufus,Labridae,Actinopterygii,tropical,,,,,1452,16,4,40,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,1,70,,LC,No,27.61575,26.68,30.91,3,11.8663019,3
,Bovichtus angustifrons,Bovichtus angustifrons,Bovichthyidae,Actinopterygii,temperate,,,,,410,16,2,28,3.6,Benthic invertivore,Benthic invertivore,benthic,Day,rock,0,20,,NA,No,15.7386,15.8442,21.3454,3,,
,Cantherhines pullus,Cantherhines pullus,Monacanthidae,Actinopterygii,tropical,,,,,753,16,1,20,2.6,Omnivore,Herbivore,Demersal,Day,coral,3,50,,NA,No,27.8811,27.8667,30.17105,1,0.6850361,2
,Caranx caballus,Caranx caballus,Carangidae,Actinopterygii,tropical,,,,,450,16,20,55,4.1,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,water column,3,100,,LC,No,27.69,27.779125,31.518,3,4.3600174,3
,Centropyge bicolor,Centropyge bicolor,Pomacanthidae,Actinopterygii,tropical,,,,,1949,16,3,11,2.7,Omnivore,Herbivore,Demersal,Day,coral,,,,LC,No,28.28085,27.6745,31.535,3,16.1315965,3
,Chaetodon ornatissimus,Chaetodon ornatissimus,Chaetodontidae,Actinopterygii,tropical,,,,,4121,16,2,20,3.3,Corallivore,Corallivore,Demersal,Day,coral,1,36,,LC,No,27.49395,27.05525,31.224,3,14.404131,3
,Chaetodon vagabundus,Chaetodon vagabundus,Chaetodontidae,Actinopterygii,tropical,,,,,3071,16,2,23,3.3,Corallivore,Corallivore,Demersal,Day,coral,4,30,,LC,No,26.87545,25.5726,31.3452,3,15.4222927,3
,Chromis dimidiata,Chromis dimidiata,Pomacentridae,Actinopterygii,tropical,,,,,3587,16,201,9,2.7,Planktivore,Planktivore,Demersal,Day,coral,1,36,,NA,No,27.121,27.21325,32.9255,3,23.8657445,3
,Chromis weberi,Chromis weberi,Pomacentridae,Actinopterygii,tropical,,,,,3142,16,58,13.5,3.4,Planktivore,Planktivore,Demersal,Day,coral,3,40,,NA,No,27.4006,26.7079,31.3796,3,16.2879582,3
,Chromodoris sp. [africana],Chromodoris spp.,Chromodorididae,Gastropoda,tropical,,,,,152,16,1,,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,25.74225,25.928375,30.02025,0,,
,Chrysiptera oxycephala,Chrysiptera oxycephala,Pomacentridae,Actinopterygii,tropical,,,,,353,16,9,9,,Planktivore,Planktivore,benthic,Day,coral,,,,,,30.1952,30.0895,31.176,1,,
,Chrysiptera rollandi,Chrysiptera rollandi,Pomacentridae,Actinopterygii,tropical,,,,,1399,16,36,7.5,2.7,Omnivore,Herbivore,Demersal,Day,coral,2,35,,NA,No,28.0995,26.5845,30.793,3,12.3012215,3
,Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,Cirrhitidae,Actinopterygii,tropical,,,,,9185,16,30,10,4,Benthic invertivore,Benthic invertivore,benthic,Day,coral,1,40,,NA,No,27.3465,26.9836,30.5662,3,19.4529764,3
,Cochleoceps orientalis,Cochleoceps orientalis,Gobiesocidae,Actinopterygii,temperate,,,,,144,16,1,5.5,3.2,Benthic invertivore,Benthic invertivore,benthic,Day,rock,3,40,,NA,No,19.8187,20.0543,24.56,3,,
,Coryphopterus eidolon,Coryphopterus eidolon,Gobiidae,Actinopterygii,tropical,,,,,655,16,21,6,2,Omnivore,Herbivore,benthic,Day,sand,6,30,,NA,No,27.6245,26.8716,30.6412,2,3.3492552,2
,Cucumaria flamma,Cucumaria flamma,Cucumariidae,Holothuroidea,tropical,,,,,158,16,25,15,,omnivore,Herbivore,benthic,,coral,,,,NA,No,28.1222,27.6739,29.8908,1,,
,Enneapterygius larsonae,Enneapterygius larsonae,Tripterygiidae,Actinopterygii,tropical,,,,,633,16,2,3.5,2.9,Benthic invertivore,Benthic invertivore,benthic,Day,coral,0,12,,NA,No,23.788375,24.313875,31.55175,1,,
,Epinephelus striatus,Epinephelus striatus,Serranidae,Actinopterygii,tropical,,,,,589,16,1,122,4.1,Higher carnivore,Higher carnivore,Demersal,Day,coral,1,90,,EN,No,27.63225,26.908,30.91,2,,
,Eubalichthys mosaicus,Eubalichthys mosaicus,Monacanthidae,Actinopterygii,temperate,,,,,942,16,2,60,2.8,Browsing herbivore,Herbivore,Demersal,Day,rock,1,80,,NA,No,18.53825,18.84325,24.56,3,8.7215387,3
,Eviota raja,Eviota raja,Gobiidae,Actinopterygii,tropical,,,,,314,16,328,3,,Browsing herbivore,Herbivore,benthic,Day,coral,,,,,,30.1025,30.211,31.176,1,,
,Fromia indica,Fromia indica,Goniasteridae,Asteroidea,tropical,,,,,1951,16,1,7,,Benthic invertivore,Benthic invertivore,benthic,,coral,,,,NA,No,25.0209,25.598,30.7824,3,,
,Girella cyanea,Girella cyanea,Kyphosidae,Actinopterygii,temperate,,,,,936,16,14,76,2,Browsing herbivore,Herbivore,pelagic site attached,Day,coral,0,20,,NA,No,20.846,20.9955,24.92,3,6.2948395,3
,Gnatholepis cauerensis,Gnatholepis cauerensis,Gobiidae,Actinopterygii,tropical,,,,,2884,16,7,9,3.14855072463768,Omnivore,Herbivore,benthic,Day,sand,,,,LC,No,25.52555,25.1405,31.15,3,14.3009561,3
,Haemulon sexfasciatum,Haemulon sexfasciatum,Haemulidae,Actinopterygii,tropical,,,,,726,16,7,71,4.2,Benthic invertivore,Benthic invertivore,Demersal,Night,coral,3,30,,LC,No,26.0378,26.1455,31.518,3,5.6409029,3
,Halichoeres leucurus,Halichoeres leucurus,Labridae,Actinopterygii,tropical,,,,,1929,16,17,13,3.4,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,2,15,,LC,No,29.3135,28.3965,31.303,2,4.0272095,2
,Haliotis cyclobates,Haliotis cyclobates,Haliotidae,Gastropoda,temperate,,,,,161,16,2,8.4,,Scraping herbivore,Herbivore,benthic,,rock,0,20,,NA,No,17.507,17.6292,22.01605,1,,
,Helcogramma sp. [orange scales],Helcogramma spp.,Tripterygiidae,Actinopterygii,tropical,,,,,234,16,2,,,Benthic invertivore,Benthic invertivore,benthic,Day,coral,,,,,,27.6726,26.65675,31.1735,0,3.0451037,1
,Heliaster cumingi,Heliaster cumingi,Heliasteridae,Asteroidea,temperate,,,,,36,16,1,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,22.6843,23.16495,26.1154,1,,
,Holopneustes porosissimus,Holopneustes porosissimus,Temnopleuridae,Echinoidea,temperate,,,,,1216,16,2,7,,Scraping herbivore,Herbivore,benthic,,rock,0,15,,NA,No,18.467875,17.901,23.268,3,,
,Lythrypnus dalli,Lythrypnus dalli,Gobiidae,Actinopterygii,temperate,,,,,1228,16,15,6.4,3.2,Benthic invertivore,Benthic invertivore,benthic,Day,rock,0,76,,LC,No,18.996,21.3935,29.487,3,,
,Macolor niger,Macolor niger,Lutjanidae,Actinopterygii,tropical,,,,,3584,16,4,75,3.99574468085106,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,,,,NA,No,27.4799,27.1833,31.3056,3,14.1593391,3
,Metacarcinus novaezelandiae,Metacarcinus novaezelandiae,Cancridae,Malacostraca,temperate,,,,,139,16,2,19,,Benthic invertivore,Benthic invertivore,benthic,,rock,0,20,,NA,No,14.139025,14.9545,19.579,1,,
,Myripristis berndti,Myripristis berndti,Holocentridae,Actinopterygii,tropical,,,,,6400,16,10,30,3.7,Planktivore,Planktivore,Demersal,Night,coral,1,50,,NA,No,27.40265,27.0515,30.674,3,21.0361985,3
,Nectria pedicelligera,Nectria pedicelligera,Oreasteridae,Asteroidea,temperate,,,,,721,16,1,,,Benthic invertivore,Benthic invertivore,benthic,,rock,,,,NA,No,17.161375,16.9085,21.823,3,,
,Neoglyphidodon thoracotaeniatus,Neoglyphidodon thoracotaeniatus,Pomacentridae,Actinopterygii,tropical,,,,,913,16,7,11,2.7,Omnivore,Herbivore,Demersal,Day,coral,14,45,,NA,No,29.722125,29.615775,30.48555,2,3.2335079,1
,Paguristes cadenati,Paguristes cadenati,Diogenidae,Malacostraca,tropical,,,,,650,16,3,2,,omnivore,Herbivore,benthic,,coral,,,,NA,No,27.51945,26.6805,31.063,2,,
,Paguristes puncticeps,Paguristes puncticeps,Diogenidae,Malacostraca,tropical,,,,,471,16,2,3,,omnivore,Herbivore,benthic,,coral,,,,NA,No,28.45575,28.5795,30.147,1,,
,Parablennius incognitus,Parablennius incognitus,Blenniidae,Actinopterygii,temperate,,,,,530,16,2,5.8,2.4,Browsing herbivore,Herbivore,benthic,Day,rock,0,2,,NA,No,18.32785,18.157975,26.43695,1,,
,Parma oligolepis,Parma oligolepis,Pomacentridae,Actinopterygii,temperate,,,,,371,16,6,20,2.7,Algal farmer,Herbivore,Demersal,Day,rock,1,25,,NA,No,22.3165,22.1555,28.141,3,1.6241076,2
,Pentaceraster cumingi,Pentaceraster cumingi,Oreasteridae,Asteroidea,tropical,,,,,837,16,6,20,,Benthic invertivore,Benthic invertivore,benthic,,sand,,,,NA,No,25.947,25.2355,30.022,3,,
,Pseudanthias pascalus,Pseudanthias pascalus,Serranidae,Actinopterygii,tropical,,,,,3265,16,165,20,3.3,Planktivore,Planktivore,pelagic site attached,Day,coral,5,60,,NA,No,27.4263,27.2167,30.2874,3,6.1173731,3
,Scarus chameleon,Scarus chameleon,Labridae,Actinopterygii,tropical,,,,,2074,16,5,31,2,Scraping herbivore,Herbivore,Demersal,Day,coral,3,30,,LC,No,24.8537,24.8735,30.616,3,20.8325448,3
,Scarus longipinnis,Scarus longipinnis,Labridae,Actinopterygii,tropical,,,,,1654,16,2,40,2,Scraping herbivore,Herbivore,Demersal,Day,coral,10,55,,LC,No,26.096,26.168375,29.39975,3,14.855867,3
,Scarus rubroviolaceus,Scarus rubroviolaceus,Labridae,Actinopterygii,tropical,,,,,8596,16,5,70,2,Scraping herbivore,Herbivore,Demersal,Day,coral,,,,LC,No,27.3573,26.9205,30.91,3,21.6002645,3
,Sepia plangon,Sepia plangon,Sepiidae,Cephalopoda,temperate,,,,,195,16,2,13,,Benthic invertivore,Benthic invertivore,Demersal,Night,rock,2,85,,LC,No,19.706775,20.035175,24.56,3,,
,Seriola lalandi,Seriola lalandi,Carangidae,Actinopterygii,temperate,,,,,1337,16,17,250,4.1,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,water column,0,50,,NA,No,20.4696,20.6226,26.2045,3,19.0670199,3
,Siganus guttatus,Siganus guttatus,Siganidae,Actinopterygii,tropical,,,,,1703,16,5,42,2.7,Browsing herbivore,Herbivore,Demersal,Day,coral,3,6,,NA,No,29.3722,29.2174,31.312,1,0.5028458,2
,Sphyraena idiastes,Sphyraena idiastes,Sphyraenidae,Actinopterygii,tropical,,,,,333,16,113,91,4.5,Higher carnivore,Higher carnivore,pelagic non-site attached,Day,water column,3,24,,LC,No,23.0573,23.25255,26.5916,1,,
,Synodus lacertinus,Synodus lacertinus,Synodontidae,Actinopterygii,tropical,,,,,716,16,1,20,4.2,Higher carnivore,Higher carnivore,benthic,Day,coral,1,27,,LC,No,26.343875,25.705875,30.13875,3,4.0536231,3
,Thalassoma quinquevittatum,Thalassoma quinquevittatum,Labridae,Actinopterygii,tropical,,,,,3510,16,18,17,3.6,Planktivore,Planktivore,Demersal,Day,coral,0,40,,LC,No,25.661,25.15225,30.674,3,19.7678721,3
,Thysanophrys cirronasa,Thysanophrys cirronasa,Platycephalidae,Actinopterygii,temperate,,,,,134,16,1,45,4,Higher carnivore,Higher carnivore,benthic,Night,rock,,,,NA,No,19.7235,19.9155,24.56,2,,
,Tosia magnifica,Tosia magnifica,Goniasteridae,Asteroidea,temperate,,,,,354,16,2,9,,Benthic invertivore,Benthic invertivore,benthic,,rock,0,200,,NA,No,14.866,15.143625,21.17725,3,,
,Trygonoptera imitata,Trygonoptera imitata,Urolophidae,Elasmobranchii,temperate,,,,,83,16,17,80,3.3,Benthic invertivore,Benthic invertivore,benthic,Night,sand,0,120,,NT,No,18.369,18.2661,22.855,2,,
,Trygonoptera testacea,Trygonoptera testacea,Urolophidae,Elasmobranchii,temperate,,,,,437,16,2,47,3.8,Benthic invertivore,Benthic invertivore,benthic,Night,sand,4,135,,LC,No,19.7065,19.9155,24.56,3,10.4281294,3
,Turbo granosus,Turbo granosus,Turbinidae,Gastropoda,temperate,,,,,337,16,3,,,Scraping herbivore,Herbivore,benthic,,rock,,,,NA,No,17.43,17.69175,21.433,1,,
,Uniophora granifera,Uniophora granifera,Asteriidae,Asteroidea,temperate,,,,,510,16,2,24,,Benthic invertivore,Benthic invertivore,benthic,,rock,0,30,,NA,No,16.37185,16.25315,22.175,3,,
,Vincentia conspersa,Vincentia conspersa,Apogonidae,Actinopterygii,temperate,,,,,393,16,2,14,3.6,Benthic invertivore,Benthic invertivore,pelagic site attached,Night,rock,1,65,,NA,No,15.52915,15.6237,21.6224,3,,
,Acanthurus blochii,Acanthurus blochii,Acanthuridae,Actinopterygii,tropical,,,,,2369,15,7,45,2,Browsing herbivore,Herbivore,Demersal,Day,coral,1,12,,LC,No,27.2914,27.09435,30.674,3,19.6869125,3
,Acanthurus dussumieri,Acanthurus dussumieri,Acanthuridae,Actinopterygii,tropical,,,,,2207,15,4,54,2,Browsing herbivore,Herbivore,Demersal,Day,coral,4,131,,LC,No,24.65625,24.23425,31.1035,3,21.9819602,3
,Acanthurus fowleri,Acanthurus fowleri,Acanthuridae,Actinopterygii,tropical,,,,,1139,15,1,45,2,Browsing herbivore,Herbivore,Demersal,Day,coral,2,50,,LC,No,30.2632,30.31095,31.5427,2,3.2992257,2
,Acanthurus lineatus,Acanthurus lineatus,Acanthuridae,Actinopterygii,tropical,,,,,3319,15,8,38,2,Browsing herbivore,Herbivore,Demersal,Day,coral,0,15,,LC,No,27.6806,27.25235,31.3047,3,21.0405421,3
,Alphestes immaculatus,Alphestes immaculatus,Serranidae,Actinopterygii,tropical,,,,,715,15,1,30,3.5,Benthic invertivore,Benthic invertivore,Demersal,Day,coral,,,,LC,No,26.1415,25.322725,30.19645,3,3.3414373,2
,Amphiprion akallopisos,Amphiprion akallopisos,Pomacentridae,Actinopterygii,tropical,,,,,3405,15,12,11,2.7,Omnivore,Herbivore,Demersal,Day,coral,3,25,,NA,No,28.8362,28.59855,32.205,2,2.8719698,2
,Amphiprion clarkii,Amphiprion clarkii,Pomacentridae,Actinopterygii,tropical,,,,,2835,15,4,15,2.9,Planktivore,Planktivore,Demersal,Day,coral,1,60,,NA,No,26.009125,24.124625,32.17325,3,9.1354283,3
